ID,Name,Price,Quantity,Category
1,Men's Quartz Watch Brown,KSh 300,12,Fashion
2,Fashion Womens Tops Round Neck Letter Printed Short Sleeve T-Shirt - White,KSh 530,78,Fashion
3,"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 17,999",634,Home & Office
4,Electric Microcurrent Wrinkle Remover LED Photon Face Beauty Device Massager For Woman,"KSh 1,430",160,Health & Beauty
5,"XIAOMI Redmi 12, 6.79'', 128GB + 4GB RAM (Dual SIM), 50MP, 5000mAh, Blue","KSh 13,799",24,Phones & Tablets
6,"XIAOMI Redmi 13c, 6.47'',  256GB + 8GB RAM (Dual SIM) 5000mAh, 4G - Navy Blue","KSh 15,490",8,Phones & Tablets
7,"XIAOMI Redmi 12, 6.79'', 128GB + 4GB RAM (Dual SIM), 50MP, 5000mAh, Black","KSh 13,799",212,Phones & Tablets
8,"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black","KSh 8,999",231,Phones & Tablets
9,"XIAOMI Redmi A3, 6.71"", 4GB RAM +128GB (Dual SIM), 5000mAh, Midnight Black (Newest Model)","KSh 9,999",135,Phones & Tablets
10,"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Forest Green","KSh 8,730",49,Phones & Tablets
11,Sleep Headphones Wireless Bluetooth Sports Headband Workout,KSh 734,78,Sporting Goods
12,Manual Lint Roller Hair Remover Scrapers For Sofa Clothes,KSh 235,69,Industrial & Scientific
13,Flirt Perfume,KSh 150,82,Health & Beauty
14,Fashion Women 3 Layers Bohemian Moon Pendant Necklace Chain - Silver,KSh 142,45,Fashion
15,Hula Hoop Detachable&Adjustable Slim Waist Belt,KSh 992,101,Sporting Goods
16,RichRipple 3GN Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 558,341,Phones & Tablets
17,Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,KSh 764,418,Fashion
18,Fashion Men's Casual Shoes Sneakers Sports Shoes,KSh 967,425,Fashion
19,Fashion Men's 2 In 1 Short Sleeve T-Shirt & Shorts Set- Black,KSh 830,397,Fashion
20,Kitchens Tongs Stainless Steel Double Sided For BBQ Cooking,KSh 395,244,Home & Office
21,Rechargeable Metal Simple Style Hair Clipper,KSh 378 - KSh 420,425,Health & Beauty
22,Fashion Elegant Studed Ladies Wristwatch With Hand Chain-Rose Gold,KSh 512,394,Fashion
23,Fashion Men's Hawaiian Ink Print  Bottom-down Beach Short Sleeve T-Shirt Casual Tops,KSh 900,23,Fashion
24,Fashion 4-layer Assembling Shoe Racks Home Storage Rack,KSh 449,237,Home & Office
25,Fast Charging 10000mAh Power Charging Bank Black,KSh 736,208,Phones & Tablets
26,LED 2.4G Rechargeable Wireless Mouse,KSh 375,334,Computing
27,RichRipple 3-Cables Portable Power Bank 10000mAh Fast Charger,KSh 912,229,Phones & Tablets
28,Fashion 16 Inch Laptop Backpack Bags With USB Waterproof,KSh 674,221,Fashion
29,Fashion 2024 Mens Casual High-Top Shoes Running Sneakers - Beige,"KSh 1,674 - KSh 1,860",251,Fashion
30,Fashion New Young Fashion Trendy Board Shoes - Blue,"KSh 1,528 - KSh 1,590",379,Fashion
31,"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black","KSh 13,699",498,Phones & Tablets
32,"XIAOMI Redmi 12, 6.79'', 128GB + 4GB RAM (Dual SIM), 50MP, 5000mAh, Black","KSh 13,799",69,Phones & Tablets
33,"XIAOMI Redmi Note 13, 6.67"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Midnight Black, (2YRs WRTY)","KSh 22,499",35,Phones & Tablets
34,"XIAOMI Redmi A3, 6.71"", 4GB RAM +128GB (Dual SIM), 5000mAh, Midnight Black (Newest Model)","KSh 9,999",319,Phones & Tablets
35,"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black","KSh 8,999",443,Phones & Tablets
36,"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Forest Green","KSh 8,730",407,Phones & Tablets
37,"XIAOMI Redmi Note 13, 6.67"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Midnight Black","KSh 22,050",142,Phones & Tablets
38,"XIAOMI Redmi 13c, 6.47'',  256GB + 8GB RAM (Dual SIM) 5000mAh, 4G - Navy Blue","KSh 15,490",245,Phones & Tablets
39,"XIAOMI Redmi 12, 6.79'', 128GB + 4GB RAM (Dual SIM), 50MP, 5000mAh, Blue","KSh 13,799",121,Phones & Tablets
40,"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM) 5000mAh, Black","KSh 10,330",319,Phones & Tablets
41,"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM) 5000mAh, Green","KSh 10,330",378,Phones & Tablets
42,XIAOMI Watch 3 Active - Black(1 YR WRTY),"KSh 5,499",284,Electronics
43,"XIAOMI Redmi 12, 6.79'', 8GB RAM + 128GB, 50MP, 5000mAh, (Dual SIM), Midnight Black","KSh 14,899",256,Phones & Tablets
44,XIAOMI MI TV Stick 4k - Black(1 YR WRTY),"KSh 8,350",258,Electronics
45,XIAOMI MI TV Stick 4k - Black(1 YR WRTY),"KSh 10,500",370,Electronics
46,"XIAOMI Redmi A3, 6.71"", 4GB RAM +128GB (Dual SIM), 5000mAh, Midnight Black (Newest Model)","KSh 9,999",177,Phones & Tablets
47,AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 929,428,Home & Office
48,"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black","KSh 8,999",337,Phones & Tablets
49,"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,430",158,Electronics
50,"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","KSh 1,200",147,Health & Beauty
51,NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 1,075",249,Health & Beauty
52,Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,KSh 618,126,Fashion
